;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
 47;  0;  0; 41;  0;  0;  5;  0; 38;  0;  0;  1;  0; 16;  0;  0;  5;  0; 29;  0;9823.806
 48;  0;  0; 41;  0;  0;  3;  0; 35;  0;  0;  5;  0; 11;  0;  0;  3;  0; 26;  0;10148.702
 49;  0;  0; 41;  0;  0;  5;  0; 30;  0;  0;  4;  0;  7;  0;  0;  4;  0; 22;  0;10534.222
 50;  0;  0; 41;  0;  0;  1;  0; 29;  0;  0;  5;  0;  2;  0;  0;  3;  0; 19;  0;10800.174
 51;  0; 40;  1;  0;  0;  3;  0; 26;  0;  0;  1;  0;  1; 40;  0;  1;  0; 18;  0;10945.226
 52;  0;  0;  1;  0;  0;  0;  0; 26;  0;  0;  1;  3;  0;  0;  0;  1;  0; 17;  0;11003.124
 53;  0;  0;  1;  0;  0;  4;  0; 22;  0;  0;  0;  2;  0;  0;  0;  4;  0; 13;  0;11241.406
 54;  0;  0;  1;  0;  0;  2;  0; 20;  0; 40;  3;  0; 37;  0;  0;  5;  0;  8;  0;11538.249
 55;  0;  0;  1;  0;  0;  1;  0; 19;  0;  0;  5;  0; 32;  0;  0;  3;  0;  5;  0;11805.524
 56;  0;  0;  1;  0;  0;  0;  0; 19;  0;  0;  5;  0; 27;  0;  0;  3;  0;  2;  0;12040.432
 57;276;  0;277;  0;  0;  1;  0; 18;  0;  0;  3;  0; 24;  0;  0;  1;  0;  1;  0;12177.215
 58;  0; 40;237;  0;  0;  4;  0; 14;  0;  0;  0;  0; 24;  0;  0;  1;  2;  0; 40;12313.098
 59;  0; 40;197;  0;  0;  3;  0; 11; 40;  0;  3;  0; 21;  0;  0;  0;  4;  0;  0;12480.880
 60;  0;  0;197;  0;  0;  5;  0;  6;  0;  0;  0;  0; 21;  0;  0;  0;  2;  0;  0;12621.651
 61;  0;  0;197;  0;  0;  4;  0;  2;  0;  0;  4;  0; 17;  0; 40;  5;  0; 35;  0;13001.128
 62;  0;  0;197;  0; 40;  1;  0; 41;  0;  0;  2;  0; 15;  0;  0;  0;  0; 35;  0;13078.831
 63;  0;  0;197;  0;  0;  2;  0; 39;  0;  0;  0;  0; 15;  0;  0;  5;  0; 30;  0;13276.870
 64;  0;  0;197;  0;  0;  4;  0; 35;  0;  0;  1;  0; 14;  0;  0;  0;  0; 30;  0;13415.148
 65;  0;  0;197;  0;  0;  5;  0; 30;  0;  0;  3;  0; 11;  0;  0;  1;  0; 29;  0;13673.858
