;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
 47;  0;  0; 95;  0;  0;  4;  0; 14;  0;  0;  3;  0;  4;  0; 17;  5;  0; 13;  0;9223.406
 48;  0;  0; 95;  0;  0;  4;  0; 10;  0; 17;  5;  0; 16;  0;  0;  0;  0; 13;  0;9487.710
 49;  0; 17; 78;  0;  0;  1;  0;  9; 17;  0;  5;  0; 11;  0;  0;  1;  0; 12;  0;9690.285
 50;  0;  0; 78;  0;  0;  4;  0;  5;  0;  0;  1;  0; 10;  0;  0;  1;  0; 11;  0;9865.897
 51;  0; 17; 61;  0;  0;  5;  0;  0;  0;  0;  4;  0;  6;  0;  0;  1;  0; 10; 17;10159.923
 52;  0; 17; 44;  0; 17;  1;  0; 16;  0;  0;  3;  0;  3; 17;  0;  4;  0;  6;  0;10394.202
 53;  0;  0; 44;  0;  0;  5;  0; 11;  0;  0;  3;  2;  0;  0;  0;  3;  0;  3;  0;10721.759
 54;  0;  0; 44;  0;  0;  5;  0;  6;  0;  0;  0;  2;  0;  0; 17;  4;  0; 16;  0;10988.932
 55;  0;  0; 44;  0;  0;  2;  0;  4;  0; 17;  3;  0; 14;  0;  0;  5;  0; 11;  0;11285.769
 56;  0; 17; 27;  0;  0;  1;  0;  3; 17;  0;  5;  0;  9;  0;  0;  2;  0;  9;  0;11520.925
 57;  0;  0; 27;  0;  0;  2;  0;  1;  0;  0;  0;  0;  9;  0;  0;  2;  0;  7;  0;11639.023
 58;  0; 17; 10;  0;  0;  1;  1;  0;  0;  0;  4;  0;  5;  0;  0;  2;  0;  5; 17;11845.391
 59;276; 17;269;  0; 17;  0;  0; 17;  0;  0;  2;  0;  3; 17;  0;  0;  0;  5;  0;11890.608
 60;  0;  0;269;  0;  0;  4;  0; 13;  0;  0;  3;  0;  0;  0;  0;  2;  0;  3;  0;12149.007
 61;  0;  0;269;  0;  0;  4;  0;  9;  0;  0;  0;  5;  0;  0; 17;  2;  0; 18;  0;12316.879
 62;  0;  0;269;  0;  0;  5;  0;  4;  0; 17;  4;  0; 13;  0;  0;  2;  0; 16;  0;12634.463
 63;  0; 17;252;  0;  0;  2;  0;  2; 17;  0;  0;  0; 13;  0;  0;  2;  0; 14;  0;12740.174
 64;  0;  0;252;  0;  0;  1;  0;  1;  0;  0;  2;  0; 11;  0;  0;  3;  0; 11;  0;12908.922
 65;  0; 17;235;  0;  0;  1;  4;  0;  0;  0;  2;  0;  9;  0;  0;  4;  0;  7; 17;13105.941
 66;  0; 17;218;  0; 17;  3;  0; 14;  0;  0;  0;  0;  9; 17;  0;  0;  0;  7;  0;13182.972
 67;  0;  0;218;  0;  0;  2;  0; 12;  0;  0;  4;  0;  5;  0;  0;  5;  0;  2;  0;13503.282
 68;  0;  0;218;  0;  0;  2;  0; 10;  0;  0;  1;  0;  4;  0; 17;  4;  0; 15;  0;13703.112
